id,created_at,updated_at,flight_identifier,flt_num,scheduled_origin_gate,scheduled_destination_gate,out_gmt,in_gmt,off_gmt,on_gmt,origin,origin_city,origin_region,dest,dest_city,dest_region
291480,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,b4131042-7935-486f-bbaa-131819a5b356,2594,1,Any,2019-02-09T19:51:46Z,2019-02-09T21:16:09Z,2019-02-09T19:58:59Z,2019-02-09T21:10:45Z,SDR,Santander,Spain,AGP,Málaga,Spain
291479,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,b3f2f131-eb4f-47d1-a58e-a72757cd9b75,8,B25,Any,2019-02-09T19:57:55Z,2019-02-10T01:22:36Z,2019-02-09T20:14:23Z,2019-02-10T01:18:33Z,FRA,Frankfurt am Main,Germany,AUH,Abu Dhabi,United Arab Emirates
291482,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,c53186ca-dd05-4d4d-bb14-cb3e4eea96d3,1606,A2,C37,2019-02-09T20:01:58Z,2019-02-09T22:00:00Z,2019-02-09T20:13:51Z,2019-02-09T21:54:19Z,OMA,Omaha,Nebraska,ATL,Atlanta,Georgia
291481,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,b715fbfc-6187-4ded-8ff6-7f2ff28443cb,2180,2,Any,2019-02-09T19:56:49Z,2019-02-10T00:55:17Z,2019-02-09T20:04:38Z,2019-02-10T00:49:37Z,YQQ,Comox,Canada,PVR,Ciudad de Puerto Vallarta,Mexico
291513,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,5240b1f2-1bda-476e-bf73-25cb8c599bf5,995,C33,Any,2019-02-09T20:07:09Z,2019-02-10T04:41:33Z,2019-02-09T20:23:07Z,2019-02-10T04:35:48Z,CPH,Copenhagen,Denmark,PEK,Beijing,China
291514,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,5ee72821-25e7-46ad-b004-c2ee3a7b60d2,1962,Any,A35,2019-02-09T19:59:01Z,2019-02-10T00:17:35Z,2019-02-09T20:11:15Z,2019-02-10T00:09:49Z,CZM,Ciudad de Cozumel,Mexico,DEN,Denver,Colorado
291515,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,61f18f78-5262-4a06-86c1-772340914575,568,B09,A38,2019-02-09T19:53:54Z,2019-02-10T00:34:53Z,2019-02-09T20:11:38Z,2019-02-10T00:28:50Z,PVR,Ciudad de Puerto Vallarta,Mexico,DTW,Detroit,Michigan
291483,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,c837372a-d204-4382-9c0b-fdb32d343b2e,328,B5,Any,2019-02-09T20:22:22Z,2019-02-09T21:21:04Z,2019-02-09T20:35:07Z,2019-02-09T21:16:03Z,ATH,Athens,Greece,HER,Heraklion,Greece
291516,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,62836915-d5dd-4c52-a5ca-0a855db67f29,1618,C75,Any,2019-02-09T20:09:29Z,2019-02-09T23:46:27Z,2019-02-09T20:29:30Z,2019-02-09T23:40:56Z,YUL,Montréal,Canada,TPA,Tampa,Florida
291451,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,0081831f-153d-444f-b5d9-6b93ee18d328,1804,B3,8,2019-02-09T20:00:28Z,2019-02-09T22:21:24Z,2019-02-09T20:17:40Z,2019-02-09T22:16:04Z,IND,Indianapolis,Indiana,SFB,Orlando,Florida
291517,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,6a6aa5c6-faab-4b6e-ab2a-1afc8aada6e0,3687,6,B14,2019-02-09T19:54:06Z,2019-02-09T22:31:19Z,2019-02-09T20:07:39Z,2019-02-09T22:24:55Z,BDL,Hartford,Connecticut,MDW,Chicago,Illinois
291452,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,05291af1-4b05-4b2e-8dcc-8158728e47b4,2855,S7,A54,2019-02-09T19:51:35Z,2019-02-09T23:58:28Z,2019-02-09T20:08:11Z,2019-02-09T23:53:32Z,SEA,Seattle,Washington,DTW,Detroit,Michigan
291518,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,6e46eff3-b32d-456c-85ec-aab5fbc91156,569,5,Any,2019-02-09T20:04:20Z,2019-02-09T21:27:39Z,2019-02-09T20:17:25Z,2019-02-09T21:22:25Z,SSG,Malabo,Equatorial Guinea,LOS,Lagos,Nigeria
291484,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,cc499a30-6350-4501-9cdd-dfd840219ce4,1124,A06,D6,2019-02-09T20:08:57Z,2019-02-09T22:07:36Z,2019-02-09T20:43:07Z,2019-02-09T22:03:31Z,ATL,Atlanta,Georgia,FLL,Fort Lauderdale,Florida
291453,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,1d814559-7c50-44a7-8bf5-ca5bd73224b2,673,C64,Any,2019-02-09T19:58:14Z,2019-02-10T06:31:42Z,2019-02-09T20:16:36Z,2019-02-10T06:25:22Z,GIG,Rio De Janeiro,Brazil,FCO,Rome,Italy
291519,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,8069914d-ff2a-4fae-ae61-832f07fb4270,5383,E13,7,2019-02-09T19:57:20Z,2019-02-09T21:33:18Z,2019-02-09T20:14:11Z,2019-02-09T21:29:23Z,CLT,Charlotte,North Carolina,MLB,Melbourne,Florida
291454,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,388427ec-03ee-485d-9fd0-3aadd895df3c,2339,C15,9,2019-02-09T19:53:08Z,2019-02-10T02:25:59Z,2019-02-09T20:10:44Z,2019-02-10T02:21:36Z,BOS,Boston,Massachusetts,BUR,Burbank,California
291485,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,d4e132da-2d01-40a5-b0c4-721de070002c,3314,B9,A5,2019-02-09T20:07:58Z,2019-02-09T22:06:13Z,2019-02-09T20:17:53Z,2019-02-09T22:00:50Z,MDW,Chicago,Illinois,ORF,Norfolk,Virginia
291520,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,93c521e2-d218-4f23-8e67-3042fa6559bb,1418,B05,4,2019-02-09T20:01:18Z,2019-02-09T21:06:51Z,2019-02-09T20:17:07Z,2019-02-09T21:03:43Z,ATL,Atlanta,Georgia,ECP,Panama City Beach,Florida
291455,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,416e1286-45ca-4760-b688-fba3e80cb171,1969,F10,A32,2019-02-09T20:01:37Z,2019-02-10T00:18:56Z,2019-02-09T20:17:35Z,2019-02-10T00:12:44Z,PHX,Phoenix,Arizona,ATL,Atlanta,Georgia
291521,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,978ffbd7-5e04-4a23-b105-303b02cf7149,5639,12,B26,2019-02-09T20:11:12Z,2019-02-09T21:57:55Z,2019-02-09T20:29:54Z,2019-02-09T21:52:13Z,PHL,Philadelphia,Pennsylvania,CVG,Cincinnati / Covington,Kentucky
291486,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,d5bc4bcc-f6d3-41f6-8c53-1421b669b024,1146,A7,Any,2019-02-09T20:06:01Z,2019-02-09T22:15:13Z,2019-02-09T20:20:22Z,2019-02-09T22:09:49Z,FRA,Frankfurt am Main,Germany,BIO,Bilbao,Spain
291456,2019-09-19T20:36:44Z,2019-09-19T20:36:44Z,47b1772c-124d-4306-b134-ef0eeaf3fafc,7042,Any,Any,2019-02-09T19:57:31Z,2019-02-09T22:16:54Z,2019-02-09T20:06:41Z,2019-02-09T22:11:38Z,CAG,Cagliari,Italy,MAD,Madrid,Spain
